lga_code,lat,lon,lga_name
58330,-31.47107515,116.3806676,South Perth
58400,-31.14399977,117.806883,Stirling
58470,-24.72657588,116.3551205,Subiaco
58510,-31.97971828,115.9014629,Swan
58540,-31.01432303,116.319601,Tammin
58570,-31.93126434,115.8526304,Three Springs
58610,-33.27668301,117.3699465,Toodyay
58680,-32.54716736,116.5812648,Trayning
58760,-31.6117298,115.7629358,Upper Gascoyne
58820,-32.85792553,115.9200823,Victoria Park
58890,-33.45711665,116.7393735,Victoria Plains
59030,-30.96756218,118.6562577,Vincent
59100,-32.80694327,117.671765,Wagin
59170,-33.07142511,116.7281014,Wandering
59250,-25.31201112,122.2450872,Wanneroo
59310,-30.71712661,116.8426223,Waroona
59320,-33.53368298,117.3380545,West Arthur
59330,-31.18664537,117.4352922,Westonia
59340,-15.55914563,127.0518044,Wickepin
59350,-28.56516341,117.0502843,Williams
59360,-30.9573312,119.341995,Wiluna
59370,-31.92636083,116.7354472,Wongan-Ballidu
60210,-41.42525672,148.0499882,Woodanilling
60410,-42.71939097,147.2610461,Wyalkatchem
60610,-41.21608395,145.8061769,Wyndham-East Kimberley
60810,-41.2811601,146.0400341,Yalgoo
61010,-42.21231106,146.6460824,Yilgarn
61210,-41.07901846,145.014794,York
61410,-42.83686555,147.4340095,Break O'Day
61510,-42.81294949,146.4213275,Brighton
61610,-41.20869869,146.3118999,Burnie
61810,-41.07211444,147.7084199,Central Coast
62010,-40.11945419,148.0983276,Central Highlands
62210,-41.10215731,147.0260581,Circular Head
62410,-42.26927914,147.965243,Clarence
62610,-42.83946178,147.2196121,Derwent Valley
62810,-42.8979249,147.2875521,Devonport
63010,-43.25125302,146.5973638,Dorset
63210,-41.45393455,146.1835216,Flinders
63410,-39.86384455,143.9855362,George Town
63610,-43.18867521,147.2624624,Glamorgan-Spring Bay
63810,-41.24396042,146.5601049,Glenorchy
64010,-41.36063399,147.3057618,Hobart
64210,-41.62662755,146.4847975,Huon Valley
64610,-41.84016171,147.4601532,Kentish
64810,-42.7786333,147.6960452,King Island
65010,-42.43456251,147.4005337,Kingborough
65210,-43.05464306,147.8347015,Latrobe
65410,-41.38316704,145.4953902,Launceston
65610,-42.29816446,145.6373204,Meander Valley
65810,-41.28161412,146.864401,Northern Midlands
70200,-23.73506299,133.8547753,Sorell
70420,-19.44407454,135.0847288,Southern Midlands
70620,-21.48980344,132.4150163,Tasman
70700,-13.12571662,131.0828695,Waratah-Wynyard
71000,-12.39838624,130.8870298,West Coast
71150,-12.46926326,130.8465408,West Tamar
71300,-12.9332915,135.7453936,Alice Springs
72200,-14.69016109,132.1950958,Barkly
72300,-12.53738141,131.1216442,Belyuen
72330,-24.6372827,133.1615537,Central Desert
72800,-12.5025089,130.9792336,Coomalie
73600,-15.43485077,134.6511628,Darwin
74050,-11.55984696,130.816349,Darwin Waterfront Precinct
74550,-16.24958081,130.6586373,East Arnhem
74560,-12.44112458,130.7495854,Katherine
74660,-12.50811987,133.2585716,Litchfield
74680,-14.22300652,130.0602977,MacDonnell
79399,-13.11226242,131.1870178,Palmerston
89399,-35.48863685,149.0025293,Roper Gulf
